time,christina,charles,yvonne,jonathan
2013-08-03 18:47:35,2,2,2,2
2013-08-03 18:47:36,2,2,2,2
2013-08-03 18:47:37,2,2,2,2
2013-08-03 18:47:38,2,2,2,2
2013-08-03 18:47:39,2,2,2,2
2013-08-03 18:47:40,2,2,2,2
2013-08-03 18:47:41,2,2,2,2
2013-08-03 18:47:42,2,2,2,2
2013-08-03 18:47:43,2,2,2,2
2013-08-03 18:47:44,2,2,2,2
2013-08-03 18:47:45,2,2,2,2
2013-08-03 18:47:46,2,2,2,2
2013-08-03 18:47:47,2,2,2,2
2013-08-03 18:47:48,2,2,2,2
2013-08-03 18:47:49,0,2,2,2
2013-08-03 18:47:50,2,2,2,2
2013-08-03 18:47:51,2,2,2,2
2013-08-03 18:47:52,2,2,2,2
2013-08-03 18:47:53,2,2,2,2
2013-08-03 18:47:54,2,2,2,2
2013-08-03 18:47:55,2,2,2,2
2013-08-03 18:47:56,2,2,2,2
2013-08-03 18:47:57,2,2,2,2
2013-08-03 18:47:58,2,2,2,2
2013-08-03 18:47:59,2,2,2,2
2013-08-03 18:48:00,2,2,2,2
2013-08-03 18:48:01,2,2,2,2
2013-08-03 18:48:02,2,2,2,2
2013-08-03 18:48:03,2,2,2,2
2013-08-03 18:48:04,2,2,2,2
2013-08-03 18:48:05,2,2,2,2
2013-08-03 18:48:06,2,2,2,2
2013-08-03 18:48:07,2,2,2,2
2013-08-03 18:48:08,2,0,2,2
2013-08-03 18:48:09,2,2,2,2
2013-08-03 18:48:10,2,2,2,2
2013-08-03 18:48:11,2,2,0,2
2013-08-03 18:48:12,2,2,0,2
2013-08-03 18:48:13,2,2,2,2
2013-08-03 18:48:14,2,2,2,2
2013-08-03 18:48:15,2,2,2,2
2013-08-03 18:48:16,2,2,2,2
2013-08-03 18:48:17,2,2,2,2
2013-08-03 18:48:18,2,2,2,2
2013-08-03 18:48:19,2,2,2,2
2013-08-03 18:48:20,2,2,2,2
2013-08-03 18:48:21,2,2,2,2
2013-08-03 18:48:22,2,2,2,2
2013-08-03 18:48:23,2,2,2,2
2013-08-03 18:48:24,2,2,2,2
2013-08-03 18:48:25,2,2,2,2
2013-08-03 18:48:26,2,2,2,2
2013-08-03 18:48:27,0,2,2,2
2013-08-03 18:48:28,2,2,2,2
2013-08-03 18:48:29,0,2,2,2
2013-08-03 18:48:30,2,2,2,2
2013-08-03 18:48:31,2,0,2,2
2013-08-03 18:48:32,2,2,2,2
2013-08-03 18:48:33,2,0,2,2
2013-08-03 18:48:34,2,0,0,2
2013-08-03 18:48:35,2,0,2,2
2013-08-03 18:48:36,2,0,2,2
2013-08-03 18:48:37,2,0,2,0
2013-08-03 18:48:38,2,0,2,2
2013-08-03 18:48:39,2,0,2,2
2013-08-03 18:48:40,2,0,2,2
2013-08-03 18:48:41,2,0,2,0
2013-08-03 18:48:42,2,0,2,0
2013-08-03 18:48:43,2,0,2,0
2013-08-03 18:48:44,2,0,2,0
2013-08-03 18:48:45,2,0,2,0
2013-08-03 18:48:46,2,0,2,0
2013-08-03 18:48:47,2,0,2,0
2013-08-03 18:48:48,2,0,2,0
2013-08-03 18:48:49,2,0,2,0
2013-08-03 18:48:50,2,0,2,0
2013-08-03 18:48:51,2,0,0,0
2013-08-03 18:48:52,2,0,0,0
2013-08-03 18:48:53,2,0,0,0
2013-08-03 18:48:54,2,0,0,0
2013-08-03 18:48:55,2,0,0,0
