2013-08-02T15:10:52.323653, touch, yvonne, 480.5, 437.5, 5.408327102661133
2013-08-02T15:10:52.334983, touch, yvonne, 485.5, 441.0, 6.103277683258057
2013-08-02T15:10:52.351291, touch, yvonne, 492.0, 444.0, 7.158910751342773
2013-08-02T15:10:52.374024, touch, yvonne, 499.0, 447.0, 7.6157732009887695
2013-08-02T15:10:52.382535, touch, yvonne, 507.5, 450.5, 9.192388534545898
2013-08-02T15:10:52.400183, touch, yvonne, 518.5, 454.0, 11.54339599609375
2013-08-02T15:10:52.423232, touch, yvonne, 530.5, 456.5, 12.257650375366211
2013-08-02T15:10:52.437511, touch, yvonne, 543.5, 458.5, 13.152946472167969
2013-08-02T15:10:52.449752, touch, yvonne, 557.5, 459.5, 14.03566837310791
2013-08-02T15:10:52.470893, touch, yvonne, 573.5, 460.5, 16.031219482421875
2013-08-02T15:10:52.489813, touch, yvonne, 592.5, 461.0, 19.00657844543457
2013-08-02T15:10:52.498876, touch, yvonne, 612.0, 461.0, 19.5
2013-08-02T15:10:52.516206, touch, yvonne, 631.0, 461.0, 19.0
2013-08-02T15:10:52.540149, touch, yvonne, 648.0, 463.0, 17.11724281311035
2013-08-02T15:10:52.556752, touch, yvonne, 663.5, 466.0, 15.787652969360352
2013-08-02T15:10:52.571076, touch, yvonne, 677.5, 471.0, 14.866068840026855
2013-08-02T15:10:52.584962, touch, yvonne, 687.5, 476.5, 11.412712097167969
2013-08-02T15:10:52.606460, touch, yvonne, 694.0, 484.0, 9.92471694946289
2013-08-02T15:10:52.616377, touch, yvonne, 697.0, 492.0, 8.5440034866333
2013-08-02T15:10:52.642414, touch, yvonne, 697.0, 502.5, 10.5
2013-08-02T15:10:52.652766, touch, yvonne, 693.0, 513.0, 11.236102104187012
2013-08-02T15:10:52.677498, touch, yvonne, 680.0, 525.0, 17.69180679321289
2013-08-02T15:10:52.682691, touch, yvonne, 662.5, 536.5, 20.940391540527344
2013-08-02T15:10:52.698142, touch, yvonne, 641.5, 544.5, 22.472204208374023
2013-08-02T15:10:52.719246, touch, yvonne, 618.5, 551.0, 23.900836944580078
2013-08-02T15:10:52.732505, touch, yvonne, 592.5, 555.0, 26.305892944335938
2013-08-02T15:10:52.749130, touch, yvonne, 564.0, 556.5, 28.539445877075195
2013-08-02T15:10:52.769640, touch, yvonne, 534.0, 556.5, 30.0
2013-08-02T15:10:52.789587, touch, yvonne, 502.0, 556.5, 32.0
