2013-08-03T11:48:04.567964, touch, christina, 530.0, 400.0, 0.0
2013-08-03T11:48:04.636557, touch/ended, christina
2013-08-03T11:48:07.174410, touch, christina, 519.0, 383.5, 0.0
2013-08-03T11:48:07.229465, touch/ended, christina
2013-08-03T11:48:09.650860, touch, christina, 511.0, 390.5, 0.0
2013-08-03T11:48:09.721867, touch/ended, christina
2013-08-03T11:48:11.627635, touch, christina, 526.0, 401.5, 0.0
2013-08-03T11:48:11.642242, touch, christina, 521.5, 390.5, 11.88486385345459
2013-08-03T11:48:11.653841, touch, christina, 521.0, 384.0, 6.51920223236084
2013-08-03T11:48:11.671780, touch, christina, 521.0, 383.5, 0.5
2013-08-03T11:48:11.687563, touch, christina, 522.0, 383.5, 1.0
2013-08-03T11:48:11.704471, touch/ended, christina
2013-08-03T11:48:14.010046, touch, christina, 514.0, 388.0, 0.0
2013-08-03T11:48:14.063016, touch/ended, christina
