time,B7116C0A-A6AE-48E3-AA63-81CFDD936EFA
2014-12-12T12:17:35.536948,4
2014-12-12T12:17:36.623121,4
2014-12-12T12:17:37.700098,4
2014-12-12T12:17:38.795178,4
2014-12-12T12:17:39.885038,4
2014-12-12T12:17:40.962532,4
2014-12-12T12:17:42.051808,4
2014-12-12T12:17:43.137006,4
2014-12-12T12:17:44.236679,4
2014-12-12T12:17:45.328257,3
2014-12-12T12:17:46.414662,4
2014-12-12T12:17:47.500499,4
2014-12-12T12:17:48.585237,4
2014-12-12T12:17:49.668475,4
2014-12-12T12:17:50.741743,3
2014-12-12T12:17:51.826488,4
2014-12-12T12:17:52.909151,4
2014-12-12T12:17:53.986007,4
2014-12-12T12:17:55.076129,0
2014-12-12T12:17:56.159228,4
2014-12-12T12:17:57.271598,4
2014-12-12T12:17:58.392676,4
2014-12-12T12:17:59.500081,4
2014-12-12T12:18:00.596482,4
2014-12-12T12:18:01.686782,4
2014-12-12T12:18:02.791517,4
2014-12-12T12:18:03.887186,4
2014-12-12T12:18:04.966500,0
2014-12-12T12:18:06.031587,0
2014-12-12T12:18:07.091463,0
2014-12-12T12:18:08.156624,0
2014-12-12T12:18:09.214329,0
2014-12-12T12:18:10.275893,0
2014-12-12T12:18:11.335167,0
2014-12-12T12:18:12.391200,0
2014-12-12T12:18:13.457856,0
2014-12-12T12:18:14.514768,0
2014-12-12T12:18:15.569794,0
2014-12-12T12:18:16.625807,0
